Time,Displacement_U3,ReactionForce_Z
0.0,0.0,0.0
0.000250000011874363,0.00125,0.31399935
0.000500000023748726,0.0025,0.6279997
0.000875000027008355,0.004375,1.0989999
0.00143750000279397,0.0071875,1.8054999
0.00228124996647239,0.01140625,2.8652499
0.00354687497019768,0.017734375,4.454875
0.00544531270861626,0.027226562,6.8393126
0.00829296838492155,0.041464843,10.415969
0.0125644532963634,0.06282227,15.780953
0.0189716797322035,0.0948584,23.82843
0.0285825189203024,0.1429126,35.899643
0.038582518696785,0.1929126,48.459644
0.0485825203359127,0.24291259,61.019646
0.0585825182497501,0.2929126,73.57964
0.0685825198888779,0.34291258,86.13964
0.0785825178027153,0.3929126,98.699646
0.0885825231671333,0.4429126,111.25964
0.0985825210809708,0.4929126,123.81964
0.108582518994808,0.5429126,136.37964
0.118582516908646,0.5929126,148.93965
0.128582522273064,0.6429126,161.49965
0.13858251273632,0.6929126,174.05965
0.148582518100739,0.7429126,186.61964
0.158582523465157,0.7929126,199.17964
0.168582513928413,0.8429126,211.73964
0.178582519292831,0.8929126,224.29965
0.188582524657249,0.9429126,236.85965
0.198582515120506,0.9929126,249.41965
0.208582520484924,1.0429126,261.97964
0.218582525849342,1.0929126,274.53964
0.228582516312599,1.1429126,287.09964
0.238582521677017,1.1929126,299.65964
0.248582512140274,1.2429127,312.21964
0.258582532405853,1.2929126,324.77963
0.26858252286911,1.3429126,337.33963
0.278582513332367,1.3929126,349.89966
0.288582533597946,1.4429126,362.45966
0.298582524061203,1.4929127,375.01965
0.30858251452446,1.5429126,387.57965
0.318582504987717,1.5929126,400.13965
0.328582525253296,1.6429126,412.69965
0.338582515716553,1.6929126,425.25964
0.34858250617981,1.7429127,437.81964
0.358582526445389,1.7929126,450.37964
0.368582516908646,1.8429126,462.93964
0.378582507371902,1.8929126,475.49963
0.388582527637482,1.9429126,488.05963
0.398582518100739,1.9929127,500.61966
0.408582508563995,2.0429125,513.1796
0.418582528829575,2.0929127,525.7396
0.428582519292831,2.1429126,538.2996
0.438582509756088,2.1929126,550.8596
0.448582530021667,2.2429125,563.4196
0.458582520484924,2.2929125,575.9796
0.468582510948181,2.3429127,588.5397
0.47858253121376,2.3929126,601.0997
0.488582521677017,2.4429126,613.65967
0.498582512140274,2.4929125,626.21967
0.508582532405853,2.5429125,638.77966
0.51858252286911,2.5929127,651.33966
0.528582513332367,2.6429126,663.89966
0.538582503795624,2.6929126,676.45966
0.548582494258881,2.7429125,689.01965
0.558582544326782,2.7929125,701.57965
0.568582534790039,2.8429127,714.13965
0.578582525253296,2.8929126,726.69965
0.588582515716553,2.9429126,739.25964
0.59858250617981,2.9929125,751.81964
0.608582496643066,3.0429125,764.37964
0.618582546710968,3.0929127,776.93964
0.628582537174225,3.1429126,789.49963
0.638582527637482,3.1929126,802.05963
0.648582518100739,3.2429125,814.6196
0.658582508563995,3.2929125,827.1796
0.668582499027252,3.3429127,839.7396
0.678582549095154,3.3929126,852.2996
0.688582539558411,3.4429126,864.8596
0.698582530021667,3.4929125,877.4196
0.708582520484924,3.5429125,889.9796
0.718582510948181,3.5929127,902.5397
0.728582501411438,3.6429126,915.0997
0.738582491874695,3.6929126,927.65967
0.748582541942596,3.7429125,940.21967
0.758582532405853,3.7929125,952.77966
0.76858252286911,3.8429127,965.33966
0.778582513332367,3.8929126,977.89966
0.788582503795624,3.9429126,990.45966
0.798582494258881,3.9929125,1003.01965
0.808582544326782,4.0429125,1015.57965
0.818582534790039,4.0929127,1028.1396
0.828582525253296,4.1429124,1040.6996
0.838582515716553,4.1929126,1053.2596
0.84858250617981,4.242913,1065.8197
0.858582496643066,4.2929125,1078.3796
0.868582546710968,4.3429127,1090.9397
0.878582537174225,4.3929124,1103.4996
0.888582527637482,4.4429126,1116.0597
0.898582518100739,4.492913,1128.6196
0.908582508563995,4.5429125,1141.1797
0.918582499027252,4.5929127,1153.7396
0.928582549095154,4.6429124,1166.2997
0.938582539558411,4.6929126,1178.8596
0.948582530021667,4.742913,1191.4197
0.958582520484924,4.7929125,1203.9796
0.968582510948181,4.8429127,1216.5397
0.978582501411438,4.8929124,1229.0996
0.988582491874695,4.9429126,1241.6597
0.998582541942596,4.992913,1254.2196
1.0,5.0,1255.9993
