Time,Displacement_U1,ReactionForce_RF1
0.0,0.0,-0.0
0.00999999977648258,0.0,-1.06142330169678
0.0199999995529652,0.0,-2.11797976493835
0.0350000001490116,0.0,-3.69510006904602
0.0575000010430813,0.0,-6.04576969146729
0.0912500023841858,0.0,-9.54536819458008
0.141249999403954,0.0,-14.6853771209717
0.191249996423721,0.0,-19.7862777709961
0.241249993443489,0.0,-24.8566474914551
0.291249990463257,0.0,-29.8990459442139
0.341250002384186,0.0,-34.9186134338379
0.391250014305115,0.0,-39.915454864502
0.441249996423721,0.0,-44.8907928466797
0.49125000834465,0.0,-49.8473358154297
0.541249990463257,0.0,-54.7828712463379
0.591250002384186,0.0,-59.6974067687988
0.641250014305115,0.0,-64.5930709838867
0.691250026226044,0.0,-69.4695892333984
0.741249978542328,0.0,-74.3254013061523
0.791249990463257,0.0,-79.1605072021484
0.841250002384186,0.0,-83.9742660522461
0.891250014305115,0.0,-88.7678985595703
0.941250026226044,0.0,-93.541015625
0.991249978542328,0.0,-98.2939834594727
1.0,0.0,-99.1236267089844
